date;time;spread;oar_length;inboard;foot_stretcher;blade_shape;oarlock_height;athlete_wheight;wind;current;remark
(dmy);;(cm);(cm);(cm);(cm);;(mm);(kg);(km/h);(m3/s);
11/11/2022;;158;286;86;48.5;comp;0;75;0;72;
14/11/2022;;158;286;86;48.5;comp;10;75;0;64;
16/11/2022;0505PM;158;286;86;48.5;comp;10;75;0;64;
16/11/2022;0512PM;158;286;86;48.5;comp;10;75;0;64;
16/11/2022;0515PM;158;286;86;48.5;comp;10;75;0;64;
16/11/2022;0519PM;158;286;86;48.5;comp;10;75;0;64;
16/11/2022;0610PM;other;286;84;51.5;comp;10;75;0;64;nicht gut fixiert
16/11/2022;0614PM;other;286;84;51.5;comp;10;75;0;64;nicht gut fixiert
16/11/2022;0617PM;other;286;84;51.5;comp;10;75;0;64;nicht gut fixiert
16/11/2022;0621PM;other;286;84;51.5;comp;10;75;0;64;nicht gut fixiert
19/11/2022;0955AM;156;286;84;51.5;comp;10;75;0;60;difficult to keep balance
19/11/2022;0958AM;156;286;84;51.5;comp;10;75;0;60;difficult to keep balance
19/11/2022;1003AM;156;286;84;51.5;comp;10;75;0;60;difficult to keep balance
19/11/2022;1007AM;156;286;84;51.5;comp;10;75;0;60;difficult to keep balance
19/11/2022;1048AM;158;286;84;51.5;comp;10;75;0;60;
19/11/2022;1053AM;158;286;84;51.5;comp;10;75;0;60;
19/11/2022;1057AM;158;286;84;51.5;comp;10;75;0;60;
19/11/2022;1100AM;158;286;84;51.5;comp;10;75;0;60;
19/11/2022;1105AM;158;286;84;51.5;comp;10;75;0;60;
19/11/2022;1205PM;158;286;86;48.5;comp;10;75;0;60;
19/11/2022;1209PM;158;286;86;48.5;comp;10;75;0;60;
19/11/2022;1215PM;158;286;86;48.5;comp;10;75;0;60;
19/11/2022;1223PM;158;286;86;48.5;comp;10;75;0;60;
19/11/2022;0148PM;158;286;86;51.5;comp;10;75;0;60;
19/11/2022;0200PM;158;286;86;51.5;comp;10;75;0;60;
19/11/2022;0206PM;158;286;86;51.5;comp;10;75;0;60;
